No,DHIS2 Code,MoH_Facility_Name,MoH_Facility_ID,HFR Code,DATIM_ID,SNU,PSNU,Facility,Facility,Military,Funding Agency,IP,COP23FY24
1353,ePPR2kPTind,Udekwa Dispensary,ePPR2kPTind,108007-6,Z1mz94ZLk1r,Iringa,Kilolo District Council,Udekwa Dispensary,Udekwa Dispensary,,USAID,Deloitte,3
1354,UFw9FEiAZH8,Kikombo-Maduma Dispensary,UFw9FEiAZH8,103867-8,GnpSmJUAgQ0,Iringa,Mafinga Town Council,Kikombo-Maduma Dispensary,Kikombo-Maduma Dispensary,,USAID,Deloitte,3
1355,jhoelJjZ3nK,Kitanda Dispensary,jhoelJjZ3nK,103153-3,bfnBSj8ICic,Ruvuma,Mbinga Town Council,Kitanda Dispensary,Kitanda Dispensary,,USAID,Deloitte,3
1356,YeonGqp9fjO,Mandawa Dispensary,YeonGqp9fjO,104225-8,HWcrgelzhXb,Lindi,Kilwa District Council,Mandawa Dispensary,Mandawa Dispensary,,USAID,Deloitte,3
1357,PWAX4XEFbVG,Rungemba Dispensary,PWAX4XEFbVG,107160-4,xrBht8u7lts,Iringa,Mafinga Town Council,Rungemba Dispensary,Rungemba Dispensary,,USAID,Deloitte,3
1358,N6yv73XGwhO,Sinai Dispensary,N6yv73XGwhO,107480-6,xb0hbUcJCr7,Ruvuma,Songea Municipal Council,Sinai Dispensary,Sinai Dispensary,,USAID,Deloitte,3
1359,gQ2Jl0BwJuP,Ifunda Dispensary,gQ2Jl0BwJuP,101504-9,rlHz6vfigbS,Iringa,Iringa District Council,Ifunda Dispensary,Ifunda Dispensary,,USAID,Deloitte,3
1360,ZP3ctM9KROg,Mofu Dispensary,ZP3ctM9KROg,105264-6,n9jdd3TVp8n,Morogoro,Mlimba District Council,Mofu Dispensary,Mofu Dispensary,,USAID,Deloitte,3
1361,G4Mv7eJOFo5,Namichiga Dispensary,G4Mv7eJOFo5,106134-0,GXjF9TbXA23,Lindi,Ruangwa District Council,Namichiga Dispensary,Namichiga Dispensary,,USAID,Deloitte,3
1362,ny5873Xqt7w,Lipokela Dispensary,ny5873Xqt7w,103542-7,DH7IzwfbyzG,Ruvuma,Songea District Council,Lipokela Dispensary,Lipokela Dispensary,,USAID,Deloitte,3
1363,nNLJC9ieKQ8,Mawengi Dispensary,nNLJC9ieKQ8,104511-1,OcZb3Wo5Ru4,Njombe,Ludewa District Council,Mawengi Dispensary,Mawengi Dispensary,,USAID,Deloitte,3
1364,MCuEhUkmLq1,Miva Dispensary,MCuEhUkmLq1,105010-3,HskZyyWh3P3,Njombe,Njombe Town Council,Miva Dispensary,Miva Dispensary,,USAID,Deloitte,3
1365,bZ54Sn3rQTt,Lundo Dispensary,bZ54Sn3rQTt,103719-1,eFUjIP2f79p,Ruvuma,Nyasa District Council,Lundo Dispensary,Lundo Dispensary,,USAID,Deloitte,3
1366,X2MqAN9Gzkm,Nanganga Dispensary,X2MqAN9Gzkm,106173-8,bWxjQnixBol,Mtwara,Masasi District Council,Nanganga Dispensary,Nanganga Dispensary,,USAID,Deloitte,3
1367,MR4JuEhgOFf,St. Thomas Health Center,MR4JuEhgOFf,110291-2,h7T0YBZLhCo,Morogoro,Morogoro Municipal Council,St. Thomas Health Center,St. Thomas Health Center,,USAID,Deloitte,3
1368,sMBBRuV5S19,Chakwale Dispensary,sMBBRuV5S19,100699-8,j7w5zcxWg6b,Morogoro,Gairo District Council,Chakwale Dispensary,Chakwale Dispensary,,USAID,Deloitte,3
1369,YrESLOi9USi,Mpapura Dispensary,YrESLOi9USi,105351-1,osCXNjSvQyf,Mtwara,Mtwara District Council,Mpapura Dispensary,Mpapura Dispensary,,USAID,Deloitte,3
1370,h7f49yj6iGM,Nundwe Dispensary,h7f49yj6iGM,106620-8,HbsgQqlWNpA,Iringa,Mufindi District Council,Nundwe Dispensary,Nundwe Dispensary,,USAID,Deloitte,3
1371,MXb8SqxGMBS,Ng'Apa Dispensary,MXb8SqxGMBS,106348-6,OkYf9KJgjno,Lindi,Lindi Municipal Council,Ng'Apa Dispensary,Ng'Apa Dispensary,,USAID,Deloitte,3
1372,kvdkrdZxi41,Ntwike Dispensary,kvdkrdZxi41,106616-6,zF3bQsmyhVR,Singida,Iramba District Council,Ntwike Dispensary,Ntwike Dispensary,,USAID,EGPAF,3
1373,yzdu0lXqxgr,Ilongero Health Center,yzdu0lXqxgr,101761-5,zBK0Swy4PWU,Singida,Singida District Council,Ilongero Health Center,Ilongero Health Center,,USAID,EGPAF,3
1374,ofHQyAdRnCF,Kijungu Dispensary,ofHQyAdRnCF,102767-1,ha5KY2J0lIZ,Manyara,Kiteto District Council,Kijungu Dispensary,Kijungu Dispensary,,USAID,EGPAF,3
1375,G8YfoRAwHFL,Nkonko Health Center,G8YfoRAwHFL,106538-2,gyLYKSdPL50,Singida,Manyoni District Council,Nkonko Health Center,Nkonko Health Center,,USAID,EGPAF,3
1376,DmmzYQSSqeS,Themi Health Center,DmmzYQSSqeS,107817-9,egABWArYbm6,Arusha,Arusha City Council,Themi Health Center,Themi Health Center,,USAID,EGPAF,3
1377,UfrvUtXbxP9,Chekereni Gvt Dispensary,UfrvUtXbxP9,109357-4,FDPSjFG5Zma,Kilimanjaro,Moshi District Council,Chekereni Gvt Dispensary,Chekereni Gvt Dispensary,,USAID,EGPAF,3
1378,xkmDj7H7jU5,Iambi Elct Other Hospital,xkmDj7H7jU5,101428-1,vk4LrOLhUey,Singida,Mkalama District Council,Iambi Elct Other Hospital,Iambi Elct Other Hospital,,USAID,EGPAF,3
1379,t1PCzSQZaBl,Iguguno R.C Dispensary,t1PCzSQZaBl,101578-3,c0MndohPBsb,Singida,Mkalama District Council,Iguguno R.C Dispensary,Iguguno R.C Dispensary,,USAID,EGPAF,3
1380,scqELwSlNRn,Moivo Dispensary,scqELwSlNRn,105273-7,bptuZLv5bzt,Arusha,Arusha District Council,Moivo Dispensary,Moivo Dispensary,,USAID,EGPAF,3
1381,oN4mINoiHSc,Matui Azimio Dispensary,oN4mINoiHSc,104484-1,kCo6yS73mKp,Manyara,Kiteto District Council,Matui Azimio Dispensary,Matui Azimio Dispensary,,USAID,EGPAF,3
1382,uKGsCFIb8NY,Hogoro Dispensary,uKGsCFIb8NY,101375-4,oYIw1dx2Urj,Dodoma,Kongwa District Council,Hogoro Dispensary,Hogoro Dispensary,,USAID,EGPAF,3
1383,M8iDcHs3Z2M,Pwaga Health Center,M8iDcHs3Z2M,107043-2,qY2EeAWVZrA,Dodoma,Mpwapwa District Council,Pwaga Health Center,Pwaga Health Center,,USAID,EGPAF,3
1384,Ck4ZEh1ha3N,Mnenia Health Center,Ck4ZEh1ha3N,105245-5,CTT3AYSV96z,Dodoma,Kondoa District Council,Mnenia Health Center,Mnenia Health Center,,USAID,EGPAF,3
1385,TVWaGBLiEH9,Kisiki Health Center,TVWaGBLiEH9,103110-3,yJrvCXphLJg,Kilimanjaro,Hai District Council,Kisiki Health Center,Kisiki Health Center,,USAID,EGPAF,3
1386,oxGvO35Zv1k,Mrijo Health Center,oxGvO35Zv1k,105405-5,yjiBGeQ9eSm,Dodoma,Chemba District Council,Mrijo Health Center,Mrijo Health Center,,USAID,EGPAF,3
1387,pe8G9ExpX50,Gonja Other Hospital,pe8G9ExpX50,101246-7,umgWbKkUInS,Kilimanjaro,Same District Council,Gonja Other Hospital,Gonja Other Hospital,,USAID,EGPAF,3
1388,mtn8tgXhrSH,Monduli District Hospital,mtn8tgXhrSH,105287-7,VchcmEoue4p,Arusha,Monduli District Council,Monduli District Hospital,Monduli District Hospital,,USAID,EGPAF,3
1389,HeOlXKoff01,Hamai Health Center,HeOlXKoff01,101305-1,BnkYj0nDiTt,Dodoma,Chemba District Council,Hamai Health Center,Hamai Health Center,,USAID,EGPAF,3
1390,Hohfqal1vOI,Masama Health Center,Hohfqal1vOI,104373-6,TbP7lvi2d6U,Kilimanjaro,Hai District Council,Masama Health Center,Masama Health Center,,USAID,EGPAF,3
1391,FWOjVRTyllo,Kwamtoro Health Center,FWOjVRTyllo,103382-8,F0YRADCbTWW,Dodoma,Chemba District Council,Kwamtoro Health Center,Kwamtoro Health Center,,USAID,EGPAF,3
1392,ilOYepzlNqy,Rungwa Dispensary,ilOYepzlNqy,107162-0,i7OQo6Nb1LR,Singida,Itigi District Council,Rungwa Dispensary,Rungwa Dispensary,,USAID,EGPAF,3
1393,I1dPbnZ6SKp,Papri Other Clinic,I1dPbnZ6SKp,109555-3,fyXn8nk3SVx,Kilimanjaro,Moshi Municipal Council,Papri Other Clinic,Papri Other Clinic,,USAID,EGPAF,3
1394,HtcKamKtzXE,Moyo Wa Yesu Na Maria Dispensary,HtcKamKtzXE,105322-2,a0GBRdGUhKN,Singida,Singida Municipal Council,Moyo Wa Yesu Na Maria Dispensary,Moyo Wa Yesu Na Maria Dispensary,,USAID,EGPAF,3
1395,aRb0x2HgdNW,Endulen Other Hospital,aRb0x2HgdNW,101097-4,dXm9x7MJyQN,Arusha,Ngorongoro District Council,Endulen Other Hospital,Endulen Other Hospital,,USAID,EGPAF,3
1396,d1jgdXk4xVx,Kilimatinde Other Hospital,d1jgdXk4xVx,102847-1,DvMZMOliEMg,Singida,Manyoni District Council,Kilimatinde Other Hospital,Kilimatinde Other Hospital,,USAID,EGPAF,3
1397,IqtAKefhTnR,Ulemo Dispensary,IqtAKefhTnR,108074-6,rLOIAw0yDYl,Singida,Iramba District Council,Ulemo Dispensary,Ulemo Dispensary,,USAID,EGPAF,3
1398,waCVLwmz0lV,Eltra Bosco Dispensary,waCVLwmz0lV,101066-9,oP49AJl9PMe,Singida,Manyoni District Council,Eltra Bosco Dispensary,Eltra Bosco Dispensary,,USAID,EGPAF,3
1399,QfZt8ynm2Ch,Siima Health Center,QfZt8ynm2Ch,107464-0,R2vEVSiQPQC,Kilimanjaro,Moshi Municipal Council,Siima Health Center,Siima Health Center,,USAID,EGPAF,3
1400,YBMm4XnF22U,Kikuyu Dispensary,YBMm4XnF22U,102802-6,ELQDeDWVGrk,Dodoma,Dodoma Municipal Council,Kikuyu Dispensary,Kikuyu Dispensary,,USAID,EGPAF,3
1401,l1YJuQOlxYm,Ngorbobo Dispensary,l1YJuQOlxYm,106418-7,UmFBkUDnRNw,Arusha,Arusha District Council,Ngorbobo Dispensary,Ngorbobo Dispensary,,USAID,EGPAF,3
1402,dcnuxz3897O,Ihanja Health Center,dcnuxz3897O,101611-2,fA9JHQsNQIh,Singida,Ikungi District Council,Ihanja Health Center,Ihanja Health Center,,USAID,EGPAF,3
1403,DIZsTllUHqr,Nkoaranga Other Hospital,DIZsTllUHqr,106527-5,Cl2R3A3CXLz,Arusha,Meru District Council,Nkoaranga Other Hospital,Nkoaranga Other Hospital,,USAID,EGPAF,3
1404,sTnafXMjP2d,Manyara Regional Referral Hospital,sTnafXMjP2d,104279-5,sPnks3ULfzh,Manyara,Babati Town Council,Manyara Regional Referral Hospital,Manyara Regional Referral Hospital,,USAID,EGPAF,3
1405,p7vOfG9dQQT,Gumanga Dispensary,p7vOfG9dQQT,101266-5,jOG25nSDBbR,Singida,Mkalama District Council,Gumanga Dispensary,Gumanga Dispensary,,USAID,EGPAF,3
1406,O2LwsTm7xyl,Ngoyoni Other Hospital,O2LwsTm7xyl,106424-5,H8MHwDT5LEX,Kilimanjaro,Rombo District Council,Ngoyoni Other Hospital,Ngoyoni Other Hospital,,USAID,EGPAF,3
1407,BuNtn5dEbFv,Bonga Health Center,BuNtn5dEbFv,100411-8,tXhoKpdkzMD,Manyara,Babati Town Council,Bonga Health Center,Bonga Health Center,,USAID,EGPAF,3
1408,oZXFV4bqnte,Udom Other Hospital,oZXFV4bqnte,108009-2,DzZANKgWLsZ,Dodoma,Dodoma Municipal Council,Udom Other Hospital,Udom Other Hospital,,USAID,EGPAF,3
1409,QgiTpufYiLS,Mbuguni Health Center,QgiTpufYiLS,104651-5,RpQ3yUtKCjx,Arusha,Meru District Council,Mbuguni Health Center,Mbuguni Health Center,,USAID,EGPAF,3
1410,cgZIMXjHMj9,Kifula Health Center,cgZIMXjHMj9,102682-2,w11N4JPT0x6,Kilimanjaro,Mwanga District Council,Kifula Health Center,Kifula Health Center,,USAID,EGPAF,3
1411,i3gaTU3jQZL,Chekereni Dispensary,i3gaTU3jQZL,100760-8,lOrNfZGGes9,Kilimanjaro,Moshi District Council,Chekereni Dispensary,Chekereni Dispensary,,USAID,EGPAF,3
1412,mYfrFPLDiIc,Kahe Health Center,mYfrFPLDiIc,102184-9,uoqb9h9OYWB,Kilimanjaro,Moshi District Council,Kahe Dispensary,Kahe Dispensary,,USAID,EGPAF,3
1413,FjjJXcA7VZd,Wasso Other Hospital,FjjJXcA7VZd,108321-1,TiAhCvzxgfw,Arusha,Ngorongoro District Council,Wasso Other Hospital,Wasso Other Hospital,,USAID,EGPAF,3
1414,i2GeSRg2SXz,Endasak Dispensary,i2GeSRg2SXz,101092-5,p6OQT6Wjl35,Manyara,Hanang District Council,Endasak Dispensary,Endasak Dispensary,,USAID,EGPAF,3
1415,dnIuAhncsc5,Mbuyuni Health Center,dnIuAhncsc5,104673-9,zgztK7Zhycv,Arusha,Arusha District Council,Mbuyuni Health Center,Mbuyuni Health Center,,USAID,EGPAF,3
1416,felmBmTySAZ,Chifutuka Health Center,felmBmTySAZ,100787-1,MVyAgeKXn1e,Dodoma,Bahi District Council,Chifutuka Health Center,Chifutuka Health Center,,USAID,EGPAF,3
1417,cm237N8vJZL,Doromoni Dispensary,cm237N8vJZL,100998-4,F5YLv2Qe3LH,Singida,Iramba District Council,Doromoni Dispensary,Doromoni Dispensary,,USAID,EGPAF,3
1418,NZGfCItWUFp,Simanjiro Hc Health Center,NZGfCItWUFp,107473-1,Pl878H0dW6t,Manyara,Simanjiro District Council,Simanjiro Hc Health Center,Simanjiro Hc Health Center,,USAID,EGPAF,3
1419,LikJRdV8CqE,Siha Health Center,LikJRdV8CqE,107463-2,RLkTSPu66Ty,Kilimanjaro,Siha District Council,Siha Health Center,Siha Health Center,,USAID,EGPAF,3
1420,TLOZ0j2k2f5,Kisese Rhc Health Center,TLOZ0j2k2f5,103095-6,eNjUkmSHksk,Dodoma,Kondoa District Council,Kisese Rhc Health Center,Kisese Rhc Health Center,,USAID,EGPAF,3
1421,YrRPfz0Felb,Bwambo Health Centre Health Center,YrRPfz0Felb,100649-3,MsddktaHsa7,Kilimanjaro,Same District Council,Bwambo Health Centre Health Center,Bwambo Health Centre Health Center,,USAID,EGPAF,3
1422,DaYyAZmCf48,Kikombo Health Center,DaYyAZmCf48,102786-1,h74zk3vHZvn,Dodoma,Dodoma Municipal Council,Kikombo Health Center,Kikombo Health Center,,USAID,EGPAF,3
1423,L6zwnj7deRS,Mitundu Health Center,L6zwnj7deRS,105004-6,DvLBPHEyZPY,Singida,Itigi District Council,Mitundu Health Center,Mitundu Health Center,,USAID,EGPAF,3
1424,elQrrG1HO9m,Naberera Health Center,elQrrG1HO9m,106059-9,Sas4inTdsn7,Manyara,Simanjiro District Council,Naberera Health Center,Naberera Health Center,,USAID,EGPAF,3
1425,jGtGmybP4g9,Nduruma Health Center,jGtGmybP4g9,106287-6,PyXqJHKvdcL,Arusha,Arusha District Council,Nduruma Health Center,Nduruma Health Center,,USAID,EGPAF,3
1426,OneYNqyeFap,Sunya Health Center,OneYNqyeFap,107680-1,Uog0cksni8j,Manyara,Kiteto District Council,Sunya Health Center,Sunya Health Center,,USAID,EGPAF,3
1427,FCWeWkM4FJ8,Songambele Dispensary,FCWeWkM4FJ8,107536-5,LvMXzjGSGKV,Dodoma,Kongwa District Council,Songambele Health Center,Songambele Health Center,,USAID,EGPAF,3
1428,EQJzi7tbfOd,Kagongo Health Center,EQJzi7tbfOd,102170-8,S2T9PNNSILo,Kilimanjaro,Mwanga District Council,Kagongo Health Center,Kagongo Health Center,,USAID,EGPAF,3
1429,pDT0Qh5SOi1,Mbabala A Dispensary,pDT0Qh5SOi1,104540-0,Kh1JbOLW00R,Dodoma,Dodoma Municipal Council,Mbabala A Dispensary,Mbabala A Dispensary,,USAID,EGPAF,3
1430,tPyumBiHqeC,Urukyaseni Health Center,tPyumBiHqeC,108152-0,XRyLwWX2FCr,Kilimanjaro,Moshi District Council,Urukyaseni Health Center,Urukyaseni Health Center,,USAID,EGPAF,3
1431,UPxLF3Jc2Dn,Sanza Dispensary,UPxLF3Jc2Dn,107297-4,MoAxgdrUeiF,Singida,Manyoni District Council,Sanza Dispensary,Sanza Dispensary,,USAID,EGPAF,3
1432,uICd8fnOcGZ,Misigiri Dispensary,uICd8fnOcGZ,104976-6,mflVv9PoWrX,Singida,Iramba District Council,Misigiri Dispensary,Misigiri Dispensary,,USAID,EGPAF,3
1433,JgPcvGXHCI3,Dongo Dispensary,JgPcvGXHCI3,100994-3,clfMiN7t4oi,Manyara,Kiteto District Council,Dongo Dispensary,Dongo Dispensary,,USAID,EGPAF,3
1434,tUTPK3dqG6A,Orkesumet Health Center,tUTPK3dqG6A,106937-6,eUe2oj8pBRp,Manyara,Simanjiro District Council,Orkesumet Health Center,Orkesumet Health Center,,USAID,EGPAF,3
1435,EDBRNm4RWw3,Kijenge Rc Dispensary,EDBRNm4RWw3,102755-6,dphEnEyZusY,Arusha,Arusha City Council,Kijenge Rc Dispensary,Kijenge Rc Dispensary,,USAID,EGPAF,3
1436,kkdLw8enfCZ,Esther Ngaramtoni Dispensary,kkdLw8enfCZ,109462-2,crNwl0cC6Kf,Arusha,Arusha District Council,Esther Ngaramtoni Dispensary,Esther Ngaramtoni Dispensary,,USAID,EGPAF,3
1437,uYQId47oJ1l,Orkesumet Dispensary,uYQId47oJ1l,106934-3,cKuMrzywuB9,Manyara,Simanjiro District Council,Orkesumet Dispensary,Orkesumet Dispensary,,USAID,EGPAF,3
1438,iZPRiXQMeXh,Benjamini Mkapa Referral Hospital At Zonal Level,iZPRiXQMeXh,111841-3,U5YX4pAJTog,Dodoma,Dodoma Municipal Council,Benjamini Mkapa Referral Hospital At Zonal Level,Benjamini Mkapa Referral Hospital At Zonal Level,,USAID,EGPAF,3
1439,jBNre8OgkYu,Nduguti Dispensary,jBNre8OgkYu,106274-4,NmIIrhkWSy5,Singida,Mkalama District Council,Nduguti Dispensary,Nduguti Dispensary,,USAID,EGPAF,3
1440,p2tVfv9SFhE,Bereko Health Center,p2tVfv9SFhE,100352-4,bWxKiL0V3wH,Dodoma,Kondoa District Council,Bereko Health Center,Bereko Health Center,,USAID,EGPAF,3
1441,D4c22hdrtlO,Kisiwani Health Center,D4c22hdrtlO,103125-1,pmFxsXjnZTR,Kilimanjaro,Same District Council,Kisiwani Health Center,Kisiwani Health Center,,USAID,EGPAF,3
1442,v3j1shTG0ll,Moshi Medical Health Center,v3j1shTG0ll,105306-5,IMo8jiYPN3x,Kilimanjaro,Hai District Council,Moshi Medical Health Center,Moshi Medical Health Center,,USAID,EGPAF,3
1443,jmQF1S294kH,Kinyangiri Health Center,jmQF1S294kH,102975-0,vznSllthow8,Singida,Mkalama District Council,Kinyangiri Health Center,Kinyangiri Health Center,,USAID,EGPAF,3
1444,oyBCwxw7EWZ,Kirua Vunjo Health Center,oyBCwxw7EWZ,103047-7,pEvTGcRiuyU,Kilimanjaro,Moshi District Council,Kirua Vunjo Health Center,Kirua Vunjo Health Center,,USAID,EGPAF,3
1445,ER8DLEXZvzG,Manchali Dispensary,ER8DLEXZvzG,104216-7,ChgS0lWHqdu,Dodoma,Chamwino District Council,Manchali Dispensary,Manchali Dispensary,,USAID,EGPAF,3
1446,BSZxFl3A3W6,Mtoa Dispensary,BSZxFl3A3W6,105578-9,Q3WrXxmuaJx,Singida,Iramba District Council,Mtoa Dispensary,Mtoa Dispensary,,USAID,EGPAF,3
1447,umBndktlufJ,Sasilo Dispensary,umBndktlufJ,107306-3,vu43BvILKnh,Singida,Manyoni District Council,Sasilo Dispensary,Sasilo Dispensary,,USAID,EGPAF,3
1448,q93rpD2qx1u,Itagata Dispensary,q93rpD2qx1u,101953-8,A7H0Bj3oEUb,Singida,Itigi District Council,Itagata Dispensary,Itagata Dispensary,,USAID,EGPAF,3
1449,bwwgPDjihb5,Makuyuni Health Center,bwwgPDjihb5,104152-4,lpS3qrn0282,Arusha,Monduli District Council,Makuyuni Health Center,Makuyuni Health Center,,USAID,EGPAF,3
1450,rEqvQgRzZGC,Busi Rhc Health Center,rEqvQgRzZGC,100603-0,hD1ajlgmDlr,Dodoma,Kondoa District Council,Busi Rhc Health Center,Busi Rhc Health Center,,USAID,EGPAF,3
1451,GGR3nhVLxgR,Babati Roman Catholic Dispensary,GGR3nhVLxgR,107067-1,oRTNggd3OxT,Manyara,Babati Town Council,Babati Roman Catholic Dispensary,Babati Roman Catholic Dispensary,,USAID,EGPAF,3
1452,rUz4sQIQjUX,Bomani Dispensary,rUz4sQIQjUX,100401-9,Ds6hoqP633F,Singida,Iramba District Council,Bomani Dispensary,Bomani Dispensary,,USAID,EGPAF,3
1453,pDcm3S5OXC7,Ng'Hong'Honha Dispensary,pDcm3S5OXC7,106380-9,PN06yVOKBWp,Dodoma,Dodoma Municipal Council,Ng'Hong'Honha Dispensary,Ng'Hong'Honha Dispensary,,USAID,EGPAF,3
1454,HwiQH5NvTOl,Chali Isangha Dispensary,HwiQH5NvTOl,100703-8,fK0WApsPTnR,Dodoma,Bahi District Council,Chali Isangha Dispensary,Chali Isangha Dispensary,,USAID,EGPAF,3
1455,OmHZNuKKRfz,Makanya Kitivo Dispensary,OmHZNuKKRfz,104090-6,zlTchTQkMY4,Kilimanjaro,Same District Council,Makanya Kitivo Dispensary,Makanya Kitivo Dispensary,,USAID,EGPAF,3
1456,hfQA4cH5y1Q,Dongobesh Health Center,hfQA4cH5y1Q,100995-0,keCluxPGkqO,Manyara,Mbulu District Council,Dongobesh Health Center,Dongobesh Health Center,,USAID,EGPAF,3
1457,De0FjynAOhI,Kinampanda Dispensary,De0FjynAOhI,102927-1,uTu73s9Jyd4,Singida,Iramba District Council,Kinampanda Dispensary,Kinampanda Dispensary,,USAID,EGPAF,3
1458,WQZdinQjUoS,Urughu Dispensary,WQZdinQjUoS,108154-6,vX7k6iVXzce,Singida,Iramba District Council,Urughu Dispensary,Urughu Dispensary,,USAID,EGPAF,3
1459,ADNW2Jn8B5H,Charlotte Other Hospital,ADNW2Jn8B5H,100749-1,a7335V3rMOm,Kilimanjaro,Siha District Council,Charlotte Other Hospital,Charlotte Other Hospital,,USAID,EGPAF,3
1460,NS7bHDbwDGU,Muriet Health Center,NS7bHDbwDGU,112377-7,RIonB7Ww1cw,Arusha,Arusha City Council,Muriet Health Center,Muriet Health Center,,USAID,EGPAF,3
1461,pB1MfNdx4T8,Oldonyo Sambu Health Center,pB1MfNdx4T8,106900-4,NNN5tv8JzZ7,Arusha,Arusha District Council,Oldonyo Sambu Health Center,Oldonyo Sambu Health Center,,USAID,EGPAF,3
1462,KLvW1TWEs3a,Pangawe Jwtz Dispensary,KLvW1TWEs3a,106972-3,k8TbxUKUiw3,Morogoro,Morogoro District Council,Pangawe Jwtz Dispensary,Pangawe Jwtz Dispensary,Military,DOD,HJF,3
1463,D3ZTT2eWj1m,Navy Kigamboni Health Center,D3ZTT2eWj1m,106221-5,FnU9yEsGpBa,Dar es Salaam,Kigamboni Municipal Council,Navy Kigamboni Health Center,Navy Kigamboni Health Center,,DOD,HJF,3
1464,hrLxDGpbrQm,Kajunjumele Dispensary,hrLxDGpbrQm,102200-3,h0OAYuiaEi9,Mbeya,Kyela District Council,Kajunjumele Dispensary,Kajunjumele Dispensary,,DOD,HJF,3
1465,X7jujOeSnh6,Old Shinyanga Jwtz Dispensary,X7jujOeSnh6,106897-2,VhR3lZT8wMK,Shinyanga,Shinyanga Municipal Council,Old Shinyanga Jwtz Dispensary,Old Shinyanga Jwtz Dispensary,Military,DOD,HJF,3
1466,HWcToa38yWF,Karema Health Center,HWcToa38yWF,102381-1,FvHLgDvNQCb,Katavi,Tanganyika District Council,Karema Health Center,Karema Health Center,,DOD,HJF,3
1467,yIJxtgE9dwj,Ikumbilo Dispensary,yIJxtgE9dwj,101682-3,gkA8YUefoih,Songwe,Ileje District Council,Ikumbilo Dispensary,Ikumbilo Dispensary,,DOD,HJF,3
1468,pp2siK0WeHm,Namkukwe Dispensary,pp2siK0WeHm,109181-8,yL0dBcjvr0s,Songwe,Songwe District Council,Namkukwe Dispensary,Namkukwe Dispensary,,DOD,HJF,3
1469,z4sQK28Ibl7,Mapogoro Health Center,z4sQK28Ibl7,104306-6,UKbzX2r0aHI,Mbeya,Mbarali District Council,Mapogoro Health Center,Mapogoro Health Center,,DOD,HJF,3
1470,UMDr2afXIef,Ifwenkenya Dispensary,UMDr2afXIef,109167-7,Pkj2v7ImUz1,Songwe,Songwe District Council,Ifwenkenya Dispensary,Ifwenkenya Dispensary,,DOD,HJF,3
1471,fZkCalMuJCd,Kiwira Coal And Power Dispensary,fZkCalMuJCd,103234-1,iMpjIUdgqcU,Mbeya,Kyela District Council,Kiwira Coal And Power Dispensary,Kiwira Coal And Power Dispensary,,DOD,HJF,3
1472,G5txB7txSMm,Isongole Dispensary,G5txB7txSMm,101929-8,BgqDjT0lrYR,Mbeya,Rungwe District Council,Isongole Dispensary,Isongole Dispensary,,DOD,HJF,3
1473,lyD5oqvrkEa,Gua Dispensary,lyD5oqvrkEa,109169-3,RHcoxdttY4E,Songwe,Songwe District Council,Gua Dispensary,Gua Dispensary,,DOD,HJF,3
1474,ShTPHzyXgJW,Magamba Dispensary,ShTPHzyXgJW,103899-1,Y6vL2P2AlmZ,Songwe,Mbozi District Council,Magamba Dispensary,Magamba Dispensary,,DOD,HJF,3
1475,HiIp03utBOb,Mapili Dispensary,HiIp03utBOb,110093-2,nI3jWLS9ohv,Katavi,Mlele District Council,Mapili Dispensary,Mapili Dispensary,,DOD,HJF,3
1476,LJevIm0SBDH,Kambikatoto Health Center,LJevIm0SBDH,102288-8,snMjY3hZgk2,Mbeya,Chunya District Council,Kambikatoto Health Center,Kambikatoto Health Center,,DOD,HJF,3
1477,KoOK0Prwz9a,Mkomba Dispensary,KoOK0Prwz9a,105095-4,C3WYlR1lnYf,Songwe,Momba District Council,Mkomba Dispensary,Mkomba Dispensary,,DOD,HJF,3
1478,G6rLuhgGJUb,Kaoze Dispensary,G6rLuhgGJUb,102353-0,ME5JNMZ5eW3,Rukwa,Sumbawanga District Council,Kaoze Dispensary,Kaoze Dispensary,,DOD,HJF,3
1479,eLWJ9lkN49g,Kibo Dispensary,eLWJ9lkN49g,102610-3,eN8eIBO98ze,Katavi,Tanganyika District Council,Kibo Dispensary,Kibo Dispensary,,DOD,HJF,3
1480,LSbPVPhrB8F,Ifumbo Dispensary,LSbPVPhrB8F,109166-9,XyKv8tpuCd1,Mbeya,Chunya District Council,Ifumbo Dispensary,Ifumbo Dispensary,,DOD,HJF,3
1481,SpxQWls1qqR,Mtenga Dispensary,SpxQWls1qqR,105553-2,hXs8noaVOhG,Rukwa,Nkasi District Council,Mtenga Dispensary,Mtenga Dispensary,,DOD,HJF,3
1482,C9BlgOiF0eJ,Kanyelele Dispensary,C9BlgOiF0eJ,102342-3,Dh4TpwzdHGM,Mbeya,Busokelo District Council,Kanyelele Dispensary,Kanyelele Dispensary,,DOD,HJF,3
1483,bFiafDT8mCe,Ukwavila Dispensary,bFiafDT8mCe,108067-0,H812bvgsgsB,Mbeya,Mbarali District Council,Ukwavila Dispensary,Ukwavila Dispensary,,DOD,HJF,3
1484,LlVuzSLhJR5,Ikuti Health Center,LlVuzSLhJR5,101693-0,PwBQ3fHNYgM,Mbeya,Rungwe District Council,Ikuti Health Center,Ikuti Health Center,,DOD,HJF,3
